SampleID,Year,SampleType,SampleNum,Date,Subgroup,R16,Ref_1A,SNP125_1B,SNP162_1B,Prp1A,Prp1B,SAP05,SAP06,SAP11,SAP13,SAP15,SAP19,SAP21,SAP27,SAP35,SAP36,SAP41,SAP42,SAP44,SAP45,SAP48,SAP49,SAP54,SAP66,SAP67,SAP68
2018_C_0040,2018,C,40,2018-08-21,1A,401,397,0,4,0.990024938,0.009975062,3611,11788,5141,8394,13186,1885,11,453,1025,253,10484,18458,2571,4899,7564,9047,365,6787,247,853
2018_C_0041,2018,C,41,2018-09-06,1A,219,207,12,10,0.945205479,0.054794521,1467,9941,2577,3874,7835,961,13,127,427,89,5768,7185,1167,1955,4227,5946,169,3295,15,263
2018_C_0047,2018,C,47,2018-09-18,1A,65,65,0,0,1,0,1043,7417,301,1951,4893,703,0,33,263,29,2828,2391,487,913,1718,3799,109,3207,17,69
2018_C_0048,2018,C,48,2018-09-18,1A,479,463,14,16,0.966597077,0.033402923,2537,10983,4009,4906,7689,1433,7,523,775,201,16303,14282,3259,2763,7388,8531,257,6299,209,503
2018_C_0051,2018,C,51,2018-09-18,1A,285,285,0,0,1,0,2321,8737,2973,6137,8571,874,15,347,527,145,11934,13392,1553,3317,7696,11382,109,4670,133,431
2018_C_0052,2018,C,52,2018-09-18,1A,382,378,0,4,0.989528796,0.010471204,5385,14353,5283,10223,15961,1971,3,227,847,135,10464,18758,2835,6197,7305,11020,241,7387,159,547
2018_C_0054,2018,C,54,2018-09-18,1A,319,315,0,4,0.987460815,0.012539185,3259,11036,4409,7307,10459,1541,0,243,889,129,10675,15539,2050,5546,7348,9175,283,5619,141,393
2018_C_0055,2018,C,55,2018-09-18,1A,207,207,0,0,1,0,3097,11968,3017,6305,12592,1241,13,133,617,91,11936,11511,1531,4319,6382,11721,201,5723,97,279
2018_C_0056,2018,C,56,2018-09-18,1A,257,245,12,12,0.953307393,0.046692607,3819,9419,4049,8507,11268,1309,5,301,661,119,12648,17909,2141,5454,8909,10026,175,6129,135,345
2018_C_0057,2018,C,57,2018-09-18,1A,393,383,8,10,0.974554707,0.025445293,3535,12946,4183,9262,13867,1547,15,267,793,179,14313,17958,2292,6416,10064,11603,247,6059,135,497
2018_C_0058,2018,C,58,2018-09-18,1A,305,297,8,8,0.973770492,0.026229508,3823,11844,3884,9259,13305,1465,9,247,703,147,16202,16658,2090,5061,11324,10366,225,6449,151,585
2018_C_0063,2018,C,63,2018-09-18,1A,291,287,0,4,0.986254296,0.013745704,2911,10885,4013,8374,13119,1811,5,255,833,173,12335,12721,2462,4655,8240,10162,193,7903,189,705
2018_C_0064,2018,C,64,2018-09-18,1A,67,67,0,0,1,0,1701,10151,1657,5083,8701,1019,0,121,401,77,6927,7027,1275,2537,5396,7747,99,5151,9,235
2018_C_0065,2018,C,65,2018-09-18,1A,237,225,12,12,0.949367089,0.050632911,3195,14471,5119,11877,16361,1743,5,341,831,163,12529,20820,3002,7024,12119,11190,309,8038,113,629
2018_C_0066,2018,C,66,2018-09-18,1A,105,101,0,4,0.961904762,0.038095238,1293,4823,1435,3288,5803,603,0,73,279,37,10941,6190,857,1851,6211,8866,69,3049,43,135
2018_C_0067,2018,C,67,2018-09-18,1A,247,241,0,6,0.975708502,0.024291498,2511,13227,4347,9250,14225,1447,7,259,765,155,15177,16485,2713,5333,9100,11361,181,7437,197,489
2018_C_0068,2018,C,68,2018-09-18,1A,163,159,4,4,0.975460123,0.024539877,2226,10295,3473,7093,11597,1301,3,189,689,103,12224,14148,1960,4233,6373,8486,173,6309,107,451
2018_C_0069,2018,C,69,2018-09-18,1A,557,543,8,14,0.97486535,0.02513465,3392,23862,6027,16996,27889,2145,13,389,1065,267,23054,27465,3000,7719,17899,16469,313,12379,161,617
